[DEBUG] 2021-10-19 22:33:59.872 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-19 22:33:59.898 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-19 22:33:59.908 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-19 22:34:00.157 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-19 22:34:00.171 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-19 22:34:00.859 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-19 22:34:00.865 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-19 22:34:00.888 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-19 22:34:02.423 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-19 22:34:02.511 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-19 22:34:02.514 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-19 22:34:02.565 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-19 22:34:02.659 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ac97b84
[DEBUG] 2021-10-19 22:34:02.660 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ac97b84
[DEBUG] 2021-10-19 22:34:02.660 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ac97b84
[DEBUG] 2021-10-19 22:34:02.660 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@c3fa05a
[DEBUG] 2021-10-19 22:34:02.661 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4905c46b
[DEBUG] 2021-10-19 22:34:02.662 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2b87581
[DEBUG] 2021-10-19 22:34:02.667 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d467c87
[DEBUG] 2021-10-19 22:34:02.667 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d467c87
[DEBUG] 2021-10-19 22:34:02.667 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6d467c87
[DEBUG] 2021-10-19 22:34:02.668 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@511d5d04
