[DEBUG] 2021-04-25 01:39:12.865 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-25 01:39:12.876 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-25 01:39:12.891 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-25 01:39:13.127 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-25 01:39:13.144 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-25 01:39:13.559 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-25 01:39:13.560 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-25 01:39:13.569 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-25 01:39:14.125 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-25 01:39:14.143 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-25 01:39:14.146 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-25 01:39:14.223 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-25 01:39:14.285 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@71d8cfe7
[DEBUG] 2021-04-25 01:39:14.288 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@71d8cfe7
[DEBUG] 2021-04-25 01:39:14.288 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@71d8cfe7
[DEBUG] 2021-04-25 01:39:14.288 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@46d63dbb
[DEBUG] 2021-04-25 01:39:14.289 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@23706db8
[DEBUG] 2021-04-25 01:39:14.289 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3e48d38
[DEBUG] 2021-04-25 01:39:14.290 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10fbbdb
[DEBUG] 2021-04-25 01:39:14.290 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10fbbdb
[DEBUG] 2021-04-25 01:39:14.290 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@10fbbdb
[DEBUG] 2021-04-25 01:39:14.295 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@204e90f7
[DEBUG] 2021-04-25 01:39:14.296 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@204e90f7
[DEBUG] 2021-04-25 01:39:14.296 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@204e90f7
[DEBUG] 2021-04-25 01:39:14.297 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e4b6f47
[DEBUG] 2021-04-25 01:39:14.297 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e4b6f47
[DEBUG] 2021-04-25 01:39:14.298 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@e4b6f47
[DEBUG] 2021-04-25 01:39:14.298 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@173797f0
[DEBUG] 2021-04-25 01:39:14.299 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@173797f0
