[DEBUG] 2021-10-24 12:17:15.382 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-24 12:17:15.395 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-24 12:17:15.428 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-24 12:17:15.747 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-24 12:17:15.757 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-24 12:17:16.509 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-24 12:17:16.510 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-24 12:17:16.523 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-24 12:17:17.686 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-24 12:17:17.790 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-24 12:17:17.801 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-24 12:17:17.843 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-24 12:17:17.954 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1517f633
[DEBUG] 2021-10-24 12:17:17.961 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1517f633
[DEBUG] 2021-10-24 12:17:17.961 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1517f633
[DEBUG] 2021-10-24 12:17:17.962 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4565a70a
[DEBUG] 2021-10-24 12:17:17.962 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@599f571f
[DEBUG] 2021-10-24 12:17:17.964 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@466d49f0
[DEBUG] 2021-10-24 12:17:17.965 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36bc415e
[DEBUG] 2021-10-24 12:17:17.965 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36bc415e
[DEBUG] 2021-10-24 12:17:17.965 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@36bc415e
[DEBUG] 2021-10-24 12:17:17.966 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4ebadd3d
