[DEBUG] 2021-11-01 22:27:48.286 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-11-01 22:27:48.316 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-11-01 22:27:48.328 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-11-01 22:27:48.608 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-11-01 22:27:48.620 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-11-01 22:27:49.229 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-11-01 22:27:49.238 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-11-01 22:27:49.260 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-11-01 22:27:50.456 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-11-01 22:27:50.526 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-11-01 22:27:50.535 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-11-01 22:27:50.574 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-11-01 22:27:50.630 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@773bd77b
[DEBUG] 2021-11-01 22:27:50.630 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@773bd77b
[DEBUG] 2021-11-01 22:27:50.630 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@773bd77b
[DEBUG] 2021-11-01 22:27:50.632 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47c64cfe
[DEBUG] 2021-11-01 22:27:50.633 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6f8f8a80
[DEBUG] 2021-11-01 22:27:50.633 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@27f1bbe0
[DEBUG] 2021-11-01 22:27:50.634 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@baf1bb3
[DEBUG] 2021-11-01 22:27:50.635 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@baf1bb3
[DEBUG] 2021-11-01 22:27:50.635 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@baf1bb3
[DEBUG] 2021-11-01 22:27:50.636 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@ddf20fd
